Phrase,Sujet,Verbe,Objet,type_deplacement,chapitre
"–   Eh bien, dit Fix, si le voleur a pris cette route et ce bateau, il doit entrer dans son plan de débarquer à Suez, afin de gagner par une autre voie les possessions hollandaises ou françaises de l’ Asie.",,gagner,les possessions hollandaises ou françaises de l’ Asie,Dpt au sens large,6
"L’ inspecteur de police demeura seul, pris d’ une impatience nerveuse, avec ce pressentiment assez bizarre que son voleur devait se trouver à bord du Mongolia,–   et en vérité, si ce coquin avait quitté l’ Angleterre avec l’ intention de gagner le Nouveau Monde, la route des Indes, moins surveillée ou plus difficile à surveiller que celle de l’ Atlantique, devait avoir obtenu sa préférence.",,gagner,le Nouveau Monde,Dpt au sens large,6
Quelques - uns restèrent sur le spardeck à contempler le panorama pittoresque de la ville  ; mais la plupart débarquèrent dans les canots qui étaient venus accoster le Mongolia.,qui,accoster,le Mongolia,Dynamicité spatiale sans dpt,6
Un mouvement involontaire faillit lui échapper.,Un mouvement involontaire,échapper,lui,Dpt au sens large,6
"–   Alors, je vais aller chercher mon maître, à qui pourtant cela ne plaira guère de se déranger  !  »",je,aller,,Dpt au sens large,6
"Quant à voir la ville, il n’ y pensait même pas, étant de cette race d’ Anglais qui font visiter par leur domestique les pays qu’ ils traversent.",étant de cette race d’ Anglais,visiter,par leur domestique,Dpt au sens large,7
"Quant à voir la ville, il n’ y pensait même pas, étant de cette race d’ Anglais qui font visiter par leur domestique les pays qu’ ils traversent.",étant de cette race d’ Anglais,visiter,les pays,Dpt au sens large,7
"Figurez -vous, monsieur, que je m’ imaginais ne pas aller plus loin que Paris, et cette fameuse capitale, je l’ ai revue tout juste de sept heures vingt du matin à huit heures quarante, entre la gare du Nord et la gare de Lyon, à travers les vitres d’ un fiacre et par une pluie battante  !",je,aller,,Dpt au sens large,8
"–   Moi  ! toucher à ma montre  ! s’ écria Passepartout, jamais  !",Moi,toucher,à ma montre,Dynamicité spatiale sans dpt,8
"Ce départ précipité de Londres, peu de temps après le vol, cette grosse somme emportée, cette hâte d’ arriver en des pays lointains, ce prétexte d’ un pari excentrique, tout confirmait et devait confirmer Fix dans ses idées.",,arriver,en des pays lointains,Dpt au sens large,8
Il se fait passer pour un excentrique qui veut faire le tour du monde en quatre-vingts jours.,Il,passer,se,Dpt au sens large,8
Il se fait passer pour un excentrique qui veut faire le tour du monde en quatre-vingts jours.,Il,passer,pour un excentrique,Dpt au sens large,8
"–   Alors c’ est un malin, répondit le consul, et il compte revenir à Londres, après avoir dépisté toutes les polices des deux continents  !",il,revenir,à Londres,Dpt au sens large,8
"–   Lancer une dépêche à Londres avec demande instante de m’ adresser un mandat d’ arrestation à Bombay, m’ embarquer sur le Mongolia, filer mon voleur jusqu’ aux Indes, et là, sur cette terre anglaise, l’ accoster poliment, mon mandat à la main et la main sur l’ épaule.  »",,embarquer,m’,Dpt au sens large,8
"–   Lancer une dépêche à Londres avec demande instante de m’ adresser un mandat d’ arrestation à Bombay, m’ embarquer sur le Mongolia, filer mon voleur jusqu’ aux Indes, et là, sur cette terre anglaise, l’ accoster poliment, mon mandat à la main et la main sur l’ épaule.  »",,embarquer,sur le Mongolia,Dpt au sens large,8
"–   Lancer une dépêche à Londres avec demande instante de m’ adresser un mandat d’ arrestation à Bombay, m’ embarquer sur le Mongolia, filer mon voleur jusqu’ aux Indes, et là, sur cette terre anglaise, l’ accoster poliment, mon mandat à la main et la main sur l’ épaule.  »",,accoster,sur cette terre anglaise,Dynamicité spatiale sans dpt,8
"–   Lancer une dépêche à Londres avec demande instante de m’ adresser un mandat d’ arrestation à Bombay, m’ embarquer sur le Mongolia, filer mon voleur jusqu’ aux Indes, et là, sur cette terre anglaise, l’ accoster poliment, mon mandat à la main et la main sur l’ épaule.  »",,accoster,l’,Dynamicité spatiale sans dpt,8
"–   Lancer une dépêche à Londres avec demande instante de m’ adresser un mandat d’ arrestation à Bombay, m’ embarquer sur le Mongolia, filer mon voleur jusqu’ aux Indes, et là, sur cette terre anglaise, l’ accoster poliment, mon mandat à la main et la main sur l’ épaule.  »",,accoster,mon mandat à la main,Dynamicité spatiale sans dpt,8
"La distance entre Suez et Aden est exactement de treize cent dix milles, et le cahier des charges de la Compagnie alloue à ses paquebots un laps de temps de cent trente-huit heures pour la franchir. Le Mongolia, dont les feux étaient activement poussés, marchait de manière à devancer l’ arrivée réglementaire.",le cahier des charges de la Compagnie,franchir,la,Dpt au sens large,9
"Les uns se rendaient à Bombay, les autres à Calcutta, mais via Bombay, car depuis qu’ un chemin de fer traverse dans toute sa largeur la péninsule indienne, il n’ est plus nécessaire de doubler la pointe de Ceylan.",,doubler,la pointe de Ceylan,Dpt au sens large,9
"Aucunement, ou tout au moins, si ce gentleman songeait à ces éventualités, il n’ en laissait rien paraître.",il,paraître,,Dpt au sens large,9
"Il ne venait pas reconnaître les curieuses villes semées sur ses bords, et dont la pittoresque silhouette se découpait quelquefois à l’ horizon.",Il,reconnaître,les curieuses villes,Dynamicité spatiale sans dpt,9
"–   Mais… oui…, répondit Fix, qui ne voulait pas trop s’ avancer.",qui,avancer,s’,Dpt au sens large,9
Mais il faut espérer que vous aurez le temps de visiter le pays  ?,vous,visiter,le pays,Dpt au sens large,9
"Vous comprenez bien qu’ il n’ est pas permis à un homme sain d’ esprit de passer sa vie à sauter d’ un paquebot dans un chemin de fer et d’ un chemin de fer dans un paquebot, sous prétexte de faire le tour du monde en quatre-vingts jours  !",il,passer,sa vie,Dpt au sens large,9
"Vous comprenez bien qu’ il n’ est pas permis à un homme sain d’ esprit de passer sa vie à sauter d’ un paquebot dans un chemin de fer et d’ un chemin de fer dans un paquebot, sous prétexte de faire le tour du monde en quatre-vingts jours  !",,sauter,d’ un paquebot,Dynamicité spatiale sans dpt,9
"Vous comprenez bien qu’ il n’ est pas permis à un homme sain d’ esprit de passer sa vie à sauter d’ un paquebot dans un chemin de fer et d’ un chemin de fer dans un paquebot, sous prétexte de faire le tour du monde en quatre-vingts jours  !",,sauter,dans un chemin de fer et d’ un chemin de fer,Dynamicité spatiale sans dpt,9
"Vous comprenez bien qu’ il n’ est pas permis à un homme sain d’ esprit de passer sa vie à sauter d’ un paquebot dans un chemin de fer et d’ un chemin de fer dans un paquebot, sous prétexte de faire le tour du monde en quatre-vingts jours  !",,sauter,dans un paquebot,Dynamicité spatiale sans dpt,9
"Le Mongolia avait encore seize cent cinquante milles à faire avant d’ atteindre Bombay, et il devait rester quatre heures à Steamer - Point, afin de remplir ses soutes.",,atteindre,Bombay,Dpt au sens large,9
"Le Mongolia avait encore seize cent cinquante milles à faire avant d’ atteindre Bombay, et il devait rester quatre heures à Steamer - Point, afin de remplir ses soutes.",,remplir,ses soutes,Dynamicité spatiale sans dpt,9
"D’ ailleurs le Mongolia, au lieu d’ arriver à Aden le 15 octobre seulement au matin, y entrait le 14 au soir.",,arriver,à Aden,Dpt au sens large,9
"D’ ailleurs le Mongolia, au lieu d’ arriver à Aden le 15 octobre seulement au matin, y entrait le 14 au soir.",,arriver,le 15 octobre seulement au matin,Dpt au sens large,9
"Je m’ aperçois qu’ il n’ est pas inutile de voyager, si l’ on veut voir du nouveau.  »",,voyager,,Dpt au sens large,9
Le Mongolia ne devait arriver que le 22 octobre à Bombay.,Le Mongolia,arriver,que le 22 octobre,Dpt au sens large,9
Le Mongolia ne devait arriver que le 22 octobre à Bombay.,Le Mongolia,arriver,à Bombay,Dpt au sens large,9
"La distance à vol d’ oiseau n’ est que de mille à onze cents milles, et des trains, animés d’ une vitesse moyenne seulement, n’ emploieraient pas trois jours à la franchir  ; mais cette distance est accrue d’ un tiers, au moins, par la corde que décrit le railway en s’ élevant jusqu’ à Allahabad dans le nord de la péninsule.",des trains,franchir,la,Dpt au sens large,10
"Il fit reconnaître sa qualité de détective, la mission dont il était chargé, sa situation vis-à-vis de l’ auteur présumé du vol.",,reconnaître,sa qualité de détective la mission sa situation vis-à-vis de l’ auteur présumé du vol,Dynamicité spatiale sans dpt,10
"Il ne doutait pas que Phileas Fogg n’ y séjournât, et, on le sait, c’ était aussi la conviction de Passepartout,–   ce qui laisserait au mandat d’ arrêt le temps d’ arriver.",qui,arriver,,Dpt au sens large,10
"En effet, après avoir entrevu ce carnaval parsi, Passepartout se dirigeait vers la gare, quand, passant devant l’ admirable pagode de Malebar - Hill, il eut la malencontreuse idée d’ en visiter l’ intérieur.",,visiter,en,Dpt au sens large,10
"En effet, après avoir entrevu ce carnaval parsi, Passepartout se dirigeait vers la gare, quand, passant devant l’ admirable pagode de Malebar - Hill, il eut la malencontreuse idée d’ en visiter l’ intérieur.",,visiter,l’ intérieur,Dpt au sens large,10
"Il ignorait deux choses  : d’ abord que l’ entrée de certaines pagodes indoues est formellement interdite aux chrétiens, et ensuite que les croyants eux - mêmes ne peuvent y pénétrer sans avoir laissé leurs chaussures à la porte.",les croyants eux - mêmes,pénétrer,y,Dpt au sens large,10
"Ayant suivi le sieur Fogg à la gare, il avait compris que ce coquin allait quitter Bombay.",ce coquin,quitter,Bombay,Dpt au sens large,10
"Fix allait monter dans un wagon séparé, quand une pensée le retint et modifia subitement son projet de départ.",Fix,monter,dans un wagon,Dpt au sens large,10
"–   Parce que le chemin de fer s’ arrêtait à la base de ces montagnes, qu’ il fallait traverser en palanquin ou à dos de poney jusqu’ à la station de Kandallah, située sur le versant opposé.",,traverser,en palanquin ou à dos de poney,Dpt au sens large,11
"–   Parce que le chemin de fer s’ arrêtait à la base de ces montagnes, qu’ il fallait traverser en palanquin ou à dos de poney jusqu’ à la station de Kandallah, située sur le versant opposé.",,traverser,jusqu’ à la station de Kandallah,Dpt au sens large,11
"Puis, d’ immenses étendues de terrain se dessinaient à perte de vue, des jungles où ne manquaient ni les serpents ni les tigres qu’ épouvantaient les hennissements du train, et enfin des forêts, fendues par le tracé de la voie, encore hantées d’ éléphants, qui, d’ un œil pensif, regardaient passer le convoi échevelé.",qui,passer,le convoi,Dpt au sens large,11
"Ces assassins, unis dans une association insaisissable, étranglaient, en l’ honneur de la déesse de la Mort, des victimes de tout âge, sans jamais verser de sang, et il fut un temps où l’ on ne pouvait fouiller un endroit quelconque de ce sol sans y trouver un cadavre.",Ces assassins,verser,de sang,Dynamicité spatiale sans dpt,11
"Ces assassins, unis dans une association insaisissable, étranglaient, en l’ honneur de la déesse de la Mort, des victimes de tout âge, sans jamais verser de sang, et il fut un temps où l’ on ne pouvait fouiller un endroit quelconque de ce sol sans y trouver un cadavre.",l’,fouiller,un endroit quelconque de ce sol,Dynamicité spatiale sans dpt,11
"Les voyageurs déjeunèrent rapidement, et repartirent pour la station d’ Assurghur, après avoir un instant côtoyé la rive du Tapty, petit fleuve qui va se jeter dans le golfe de Cambaye, près de Surate.",qui,jeter,se,Dpt au sens large,11
"Les voyageurs déjeunèrent rapidement, et repartirent pour la station d’ Assurghur, après avoir un instant côtoyé la rive du Tapty, petit fleuve qui va se jeter dans le golfe de Cambaye, près de Surate.",qui,jeter,dans le golfe de Cambaye près de Surate,Dpt au sens large,11
"Il retrouvait les idées fantaisistes de sa jeunesse, il prenait au sérieux les projets de son maître, il croyait à la réalité du pari, conséquemment à ce tour du monde et à ce maximum de temps, qu’ il ne fallait pas dépasser.",,dépasser,,Dpt au sens large,11
"Déjà même, il s’ inquiétait des retards possibles, des accidents qui pouvaient survenir en route.",qui,survenir,en route,Dpt au sens large,11
"Que l’ entêté garçon eût compris ou non l’ observation du brigadier général, il s’ obstina à ne pas avancer sa montre, qu’ il maintint invariablement à l’ heure de Londres.",il,avancer,sa montre,Dpt au sens large,11
"«  Sir Francis, dit simplement Mr. Fogg, nous allons, si vous le voulez bien, aviser au moyen de gagner Allahabad.",,gagner,Allahabad,Dpt au sens large,11
"Les journaux sont comme certaines montres qui ont la manie d’ avancer, et ils avaient prématurément annoncé l’ achèvement de la ligne.",,avancer,,Dpt au sens large,11
"Ce traitement peut paraître impropre à donner un tel résultat, mais il n’ en est pas moins employé avec succès par les éleveurs.",Ce traitement,paraître,,Dpt au sens large,11
Sir Francis Cromarty prit Mr. Fogg à part et l’ engagea à réfléchir avant d’ aller plus loin.,,aller,,Dpt au sens large,11
"Mr. Fogg accepta et lui promit une forte rémunération, qui ne pouvait que doubler son intelligence.",qui,doubler,son intelligence,Dpt au sens large,11
"Le guide, afin d’ abréger la distance à parcourir, laissa sur sa droite le tracé de la voie dont les travaux étaient en cours d’ exécution.",,parcourir,,Dpt au sens large,12
"Le Parsi, très familiarisé avec les routes et sentiers du pays, prétendait gagner une vingtaine de milles en coupant à travers la forêt, et on s’ en rapporta à lui.",Le Parsi,gagner,une vingtaine de milles,Dpt au sens large,12
"La domination des Anglais n’ a pu s’ établir régulièrement sur un territoire soumis à l’ influence des rajahs, qu’ il eût été difficile d’ atteindre dans leurs inaccessibles retraites des Vindhias.",,atteindre,dans leurs inaccessibles retraites des Vindhias,Dpt au sens large,12
"Plusieurs fois, on aperçut des bandes d’ Indiens farouches, qui faisaient un geste de colère en voyant passer le rapide quadrupède.",,passer,,Dpt au sens large,12
"La distance parcourue pendant cette journée était d’ environ vingt-cinq milles, et il en restait autant à faire pour atteindre la station d’ Allahabad.",,atteindre,la station d’ Allahabad,Dpt au sens large,12
Le guide espérait arriver à la station d’ Allahabad le soir même.,Le guide,arriver,à la station d’ Allahabad,Dpt au sens large,12
Le guide espérait arriver à la station d’ Allahabad le soir même.,Le guide,arriver,le soir même,Dpt au sens large,12
"À deux heures, le guide entra sous le couvert d’ une épaisse forêt, qu’ il devait traverser sur un espace de plusieurs milles.",il,traverser,sur un espace de plusieurs milles,Dpt au sens large,12
Il préférait voyager ainsi à l’ abri des bois.,Il,voyager,à l’ abri des bois,Dpt au sens large,12
"Lui - même se tint prêt à enfourcher rapidement sa monture, si la fuite devenait nécessaire.",,enfourcher,sa monture,Dynamicité spatiale sans dpt,12
"Autour de la statue s’ agitait, se démenait, se convulsionnait un groupe de vieux fakirs, zébrés de bandes d’ ocre, couverts d’ incisions cruciales qui laissaient échapper leur sang goutte à goutte, énergumènes stupides qui, dans les grandes cérémonies indoues, se précipitent encore sous les roues du char de Jaggernaut.",qui,échapper,,Dpt au sens large,12
"Ainsi, il y a quelques années, je résidais à Bombay, quand une jeune veuve vint demander au gouverneur l’ autorisation de se brûler avec le corps de son mari.",,brûler,se,Dpt au sens large,12
"Ainsi, il y a quelques années, je résidais à Bombay, quand une jeune veuve vint demander au gouverneur l’ autorisation de se brûler avec le corps de son mari.",,brûler,avec le corps de son mari,Dpt au sens large,12
"Après cette réponse, le guide fit sortir l’ éléphant de l’ épais fourré et se hissa sur le cou de l’ animal.",,sortir,Après cette réponse,Dpt au sens large,12
"Après cette réponse, le guide fit sortir l’ éléphant de l’ épais fourré et se hissa sur le cou de l’ animal.",,sortir,l’ éléphant,Dpt au sens large,12
"Après cette réponse, le guide fit sortir l’ éléphant de l’ épais fourré et se hissa sur le cou de l’ animal.",,sortir,de l’ épais fourré,Dpt au sens large,12
"Sachant le sort qui l’ attendait, elle s’ échappa, fut reprise aussitôt, et les parents du rajah, qui avaient intérêt à sa mort, la vouèrent à ce supplice auquel il ne semblait pas qu’ elle pût échapper.",elle,échapper,,Dpt au sens large,13
Les moyens de parvenir jusqu’ à la victime furent alors discutés.,,parvenir,jusqu’ à la victime,Dpt au sens large,13
"Pourrait -on y pénétrer par une des portes, quand toute la bande serait plongée dans le sommeil de l’ ivresse, ou faudrait -il pratiquer un trou dans une muraille  ?",-on,pénétrer,y,Dpt au sens large,13
"Pourrait -on y pénétrer par une des portes, quand toute la bande serait plongée dans le sommeil de l’ ivresse, ou faudrait -il pratiquer un trou dans une muraille  ?",-on,pénétrer,par une des portes,Dpt au sens large,13
Il fallait donc agir autrement et pénétrer par une ouverture pratiquée aux murailles de la pagode.,,pénétrer,par une ouverture,Dpt au sens large,13
"Ils firent un détour assez long, afin d’ atteindre la pagode par son chevet.",,atteindre,la pagode,Dpt au sens large,13
"Ils firent un détour assez long, afin d’ atteindre la pagode par son chevet.",,atteindre,par son chevet,Dpt au sens large,13
"Très heureusement, les parois du temple se composaient d’ un mélange de briques et de bois qui ne pouvait être difficile à percer.",,percer,,Dpt au sens large,13
"Maintenant qu’ ils ne pouvaient plus parvenir jusqu’ à la victime, comment la sauveraient -ils  ?",ils,parvenir,jusqu’ à la victime,Dpt au sens large,13
"Dans quelques heures le jour va paraître, et…",le jour,paraître,,Dpt au sens large,13
"Il leur sembla même que, secouant l’ engourdissement de l’ ivresse par un suprême instinct de conservation, la malheureuse tentait d’ échapper à ses bourreaux.",la malheureuse,échapper,à ses bourreaux,Dpt au sens large,13
"Le vieux rajah n’ était donc pas mort, qu’ on le vît se redresser tout à coup, comme un fantôme, soulever la jeune femme dans ses bras, descendre du bûcher au milieu des tourbillons de vapeurs qui lui donnaient une apparence spectrale  ?",,descendre,du bûcher,Dpt au sens large,13
"Le vieux rajah n’ était donc pas mort, qu’ on le vît se redresser tout à coup, comme un fantôme, soulever la jeune femme dans ses bras, descendre du bûcher au milieu des tourbillons de vapeurs qui lui donnaient une apparence spectrale  ?",,descendre,au milieu des tourbillons de vapeurs,Dpt au sens large,13
"Phileas Fogg devait donc arriver à temps pour prendre un paquebot qui ne partait que le lendemain seulement, 25 octobre, à midi, pour Hong - Kong.",Phileas Fogg,arriver,à temps,Dpt au sens large,14
"Passepartout fut chargé d’ aller acheter pour elle divers objets de toilette, robe, châle, fourrures, etc., ce qu’ il trouverait.",Passepartout,aller,,Dpt au sens large,14
Aouda commençait à revenir à elle.,Aouda,revenir,à elle,Dpt au sens large,14
"Sa mince et souple ceinture, qu’ une main suffit à enserrer, rehausse l’ élégante cambrure de ses reins arrondis et la richesse de son buste où la jeunesse en fleur étale ses plus parfaits trésors, et, sous les plis soyeux de sa tunique, elle semble avoir été modelée en argent pur de la main divine de Vicvacarma, l’ éternel statuaire.  »",une main,enserrer,,Dynamicité spatiale sans dpt,14
Cependant le train allait quitter la station d’ Allahabad.,le train,quitter,la station d’ Allahabad,Dpt au sens large,14
"Mr. Fogg lui régla son salaire au prix convenu, sans le dépasser d’ un farthing.",Mr. Fogg,dépasser,le,Dpt au sens large,14
"Mr. Fogg lui régla son salaire au prix convenu, sans le dépasser d’ un farthing.",Mr. Fogg,dépasser,d’ un farthing,Dpt au sens large,14
"Puis la nuitvintet, au milieudes hurlements des tigres,des ours,des loups quifuyaient devant la locomotive, le trainpassa àtoute vitesse,etonn’aperçutplusriendes merveilles du Bengale,ni Golgonde,ni Gour enruine,ni Mourshedabad,quifut autrefoiscapitale,ni Burdwan,ni Hougly,ni Chandernagor,ce point français du territoire indien sur lequel Passepartout eût été fier de voir flotter le drapeau de sa patrie  !",,flotter,,Dynamicité spatiale sans dpt,14
"D’ après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n’ avait donc ni retard ni avance.",ce gentleman,arriver,dans la capitale des Indes,Dpt au sens large,14
"D’ après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n’ avait donc ni retard ni avance.",ce gentleman,arriver,le 25 octobre,Dpt au sens large,14
"D’ après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n’ avait donc ni retard ni avance.",ce gentleman,arriver,vingt-trois jours,Dpt au sens large,14
"Aouda, qu’ il ne voulait pas quitter, tant qu’ elle serait en ce pays si dangereux pour elle.",il,quitter,,Dpt au sens large,15
"Au moment où Mr. Fogg allait sortir de la gare, un policeman s’ approcha de lui et dit  :",Mr. Fogg,sortir,de la gare,Dpt au sens large,15
–   Veuillez me suivre tous les deux.  »,,suivre,me,Dpt au sens large,15
–   Veuillez me suivre tous les deux.  »,,suivre,tous les deux,Dpt au sens large,15
"Le policeman fit descendre ses prisonniers– on pouvait vraiment leur donner ce nom–, et il les conduisit dans une chambre aux fenêtres grillées, en leur disant  :",Le policeman,descendre,ses prisonniers,Dpt au sens large,15
"«  Allons  ! nous sommes pris  !  » s’ écria Passepartout, en se laissant aller sur une chaise.",,aller,,Dpt au sens large,15
"«  Monsieur, il faut m’ abandonner  !",,abandonner,m’,Dpt au sens large,15
"Pendant ces préliminaires, Passepartout bouillait d’ impatience, car l’ aiguille lui paraissait marcher terriblement vite sur le cadran de la grosse horloge du prétoire.",l’ aiguille,marcher,sur le cadran de la grosse horloge du prétoire,Dpt au sens large,15
–   Bien  ! faites entrer les plaignants.  »,,entrer,les plaignants,Dpt au sens large,15
"«  C’ est bien cela  ! murmura Passepartout, ce sont ces coquins qui voulaient brûler notre jeune dame  !  »",qui,brûler,notre jeune dame,Dpt au sens large,15
"«  Sans doute  ! s’ écria impétueusement Passepartout, à cette pagode de Pillaji, devant laquelle ils allaient brûler leur victime  !  »",ils,brûler,leur victime,Dpt au sens large,15
Brûler qui  !,,Brûler,,Dpt au sens large,15
"Quelle fut donc sa joie quand, ce matin même, il le vit descendre du wagon, en compagnie, il est vrai, d’ une jeune femme dont il ne pouvait s’ expliquer la présence.",il,descendre,du wagon,Dpt au sens large,15
