Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque,chapter,time_entity_id,time_texte,time_kind,time_precision,time_code,time_datetime,time_debut,time_fin,time_jour_romanesque,time_duration_value,time_duration_unit,time_duration_relation,time_source,time_ud_governor,lieu_manuel,lieu_mention_manuelle,relation_lieu_manuelle,type_lieu_manuel,tous_lieux_manuels
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,dix,nsubj,root,obj,5.0,7,8.0,1070.0,1072,1073.0,[5],[8],passer,0,37,VEH,37,10,38,['0'],[],['0'],[],[],[],[],True,False,False,1,8,dix,,,,,,,,,,,objet,passait,maison_fogg,à son domicile,CAD cadre,FAC,maison_fogg
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,à son domicile,nsubj,root,obl:mod,5.0,7,11.0,1070.0,1072,1076.0,[5],"[9, 10, 11]",passer,0,37,VEH,37,10,38,['0'],['0'],['0'],[],['5'],['5'],['FAC'],True,True,True,1,7,en,,,,,,,,,,,ud_direct,passait,maison_fogg,à son domicile,CAD cadre,FAC,maison_fogg
"Phileas Fogg, carrément assis dans son fauteuil, les deux pieds rapprochés comme ceux d' un soldat à la parade, les mains appuyées sur les genoux, le corps droit, la tête haute, regardait marcher l' aiguille de la pendule,- appareil compliqué qui indiquait les heures, les minutes, les secondes, les jours, les quantièmes et l' année.",Phileas Fogg,marcher,l'aiguille de la pendule appareil compliqué,nsubj,xcomp,obj,1.0,39,41.0,1408.0,1446,1448.0,"[1, 2]","[40, 41, 42, 43, 44, 47, 48]",marcher,38,Dpt au sens large,VERB,45,13,46,['0'],[],['0'],[],[],[],[],True,False,False,1,12,2 octobre,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,donné,fauteuil_fogg,dans son fauteuil,CAD cadre,_,fauteuil_fogg
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,quitter,la maison,nsubj,xcomp,obj,8.0,17,19.0,1483.0,1492,1494.0,"[8, 9]","[18, 19]",quitter,10,43,LOC,46,13,47,['0'],[],['0'],[],['5'],['5'],['FAC'],True,True,True,1,14,à onze heures et demie sonnant,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,ud_scope_anchor,devait,maison_fogg,la maison,SRC source,FAC,maison_fogg ; reform_club
"James Forster, le congédié, apparut.",James Forster le congédié,apparut,,nsubj,root,,1.0,7,,1522.0,1528,,"[1, 2, 4, 5]",[],apparaître,0,52,_,48,15,49,['12'],[],['12'],[],[],[],[],True,False,False,1,14,à onze heures et demie sonnant,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,devait,,,,,
"J' ai été chanteur ambulant, écuyer dans un cirque, faisant de la voltige comme Léotard, et dansant sur la corde comme Blondin; puis je suis devenu professeur de gymnastique, afin de rendre mes talents plus utiles, et, en dernier lieu, j' étais sergent de pompiers, à Paris.",J',dansant,sur la corde,nsubj,conj,obl:arg,1.0,20,23.0,1624.0,1643,1646.0,[1],"[21, 22, 23]",danser,4,_,_,54,19,55,['1'],[],['1'],[],[],[],[],True,False,False,1,14,à onze heures et demie sonnant,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,devait,ville_paris,à paris,CAD cadre,GPE,ville_paris ; noRef_1099
"J' ai été chanteur ambulant, écuyer dans un cirque, faisant de la voltige comme Léotard, et dansant sur la corde comme Blondin; puis je suis devenu professeur de gymnastique, afin de rendre mes talents plus utiles, et, en dernier lieu, j' étais sergent de pompiers, à Paris.",J',dansant,comme Blondin,nsubj,conj,obl:mod,1.0,20,25.0,1624.0,1643,1648.0,[1],"[24, 25]",danser,4,_,_,54,19,55,['1'],[],['1'],[],[],[],[],True,False,False,1,14,à onze heures et demie sonnant,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,devait,ville_paris,à paris,CAD cadre,GPE,ville_paris ; noRef_1099
"Mais voilà cinq ans que j' ai quitté la France et que, voulant goûter de la vie de famille, je suis valet de chambre en Angleterre.",j',quitté,la France,nsubj,ccomp,obj,6.0,8,10.0,1696.0,1698,1700.0,[6],"[9, 10]",quitter,2,61,_,56,19,57,['1'],[],['1'],[],[],[],[],True,False,False,1,14,à onze heures et demie sonnant,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,devait,pays_france,la france,SRC source,GPE,pays_france ; pays_angleterre ; M35
"Cela dit, Phileas Fogg se leva, prit son chapeau de la main gauche, le plaça sur sa tête avec un mouvement d' automate et disparut sans ajouter une parole.",Phileas Fogg,disparut,,nsubj,conj,,4.0,28,,1897.0,1921,,"[4, 5]",[],disparaître,7,87,VEH,73,27,74,['0'],[],['0'],[],[],[],[],True,False,False,1,20,ce mercredi 2 octobre 1872,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,êtes,,,,,
"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,sortait,,nsubj,acl:relcl,,19.0,20,,1945.0,1946,,[19],[],sortir,18,88,_,74,28,75,['0'],[],['0'],[],[],[],[],True,False,False,1,20,ce mercredi 2 octobre 1872,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,êtes,rue_fogg,la rue,lieu_sans_relation,FAC,rue_fogg
"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,s',nsubj,dep,expl:comp,35.0,38,36.0,1961.0,1964,1962.0,[35],[36],aller,30,51,_,74,28,75,['12'],[],['12'],[],[],[],[],True,False,False,1,20,ce mercredi 2 octobre 1872,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,êtes,rue_fogg,la rue,lieu_sans_relation,FAC,rue_fogg
"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,en,nsubj,dep,expl:comp,35.0,38,37.0,1961.0,1964,1963.0,[35],[37],aller,30,51,_,74,28,75,['12'],[],['12'],[],[],[],[],True,False,False,1,20,ce mercredi 2 octobre 1872,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,êtes,rue_fogg,la rue,lieu_sans_relation,FAC,rue_fogg
"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,à son tour,nsubj,dep,obl:mod,35.0,38,41.0,1961.0,1964,1967.0,[35],"[39, 40, 41]",aller,30,51,_,74,28,75,['12'],['12'],['12'],[],[],[],[],True,False,False,1,20,ce mercredi 2 octobre 1872,date_absolue,jour,1872-10-02-00-00,1872-10-02 00:00,,,1.0,,,,precedent_context,êtes,rue_fogg,la rue,lieu_sans_relation,FAC,rue_fogg
"Pendant les quelques instants qu' il venait d' entrevoir Phileas Fogg, Passepartout avait rapidement, mais soigneusement examiné son futur maître.",il,venait,qu',nsubj,acl:relcl,obj,6.0,7,5.0,2051.0,2052,2050.0,[6],[5],venir,4,_,_,78,32,79,['1'],[],['1'],[],[],[],[],True,False,False,2,21,pendant les quelques instants,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,ud_scope_anchor,avait,,,,,
"Il paraissait posséder au plus haut degré ce que les physionomistes appellent« le repos dans l' action», faculté commune à tous ceux qui font plus de besogne que de bruit.",Il,paraissait,,nsubj,root,,1.0,2,,2122.0,2123,,[1],[],paraître,0,_,_,80,32,81,['0'],[],['0'],[],[],[],[],True,False,False,2,21,pendant les quelques instants,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,avait,,,,,
"Il ne faisait pas une enjambée de trop, allant toujours par le plus court.",Il,allant,par le plus court,nsubj,advcl,obl:arg,1.0,10,15.0,2327.0,2336,2341.0,[1],"[12, 13, 14, 15]",aller,3,_,_,85,33,86,['0'],[],['0'],[],[],[],[],True,False,False,2,21,pendant les quelques instants,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,avait,,,,,
"C' était l' homme le moins hâté du monde, mais il arrivait toujours à temps.",il,arrivait,à temps,nsubj,conj,obl:mod,12.0,13,16.0,2381.0,2382,2385.0,[12],"[15, 16]",arriver,4,_,_,89,33,90,['0'],[],['0'],[],[],[],[],True,False,False,2,21,pendant les quelques instants,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,precedent_context,avait,,,,,
"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,vint,,nsubj,root,,14.0,15,,2749.0,2750,,[14],[],venir,0,32,_,102,36,103,['1'],[],['1'],[],[],[],[],True,False,False,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,pays_angleterre,en angleterre,GOL goal,GPE,pays_angleterre
"Son dernier maître, le jeune Lord Longsferry, membre du Parlement, après avoir passé ses nuits dans les« oysters - rooms» d' Hay - Market, rentrait trop souvent au logis sur les épaules des policemen.",,passé,ses nuits,,acl,obj,,16,18.0,,2825,2827.0,[],"[17, 18]",passer,7,35,_,107,36,108,[],['48'],['48'],[],[],[],[],True,False,False,2,24,ses nuits,,,,,,,,,,,objet,passé,M7,dans les « oysters - rooms » d' hay - market,CAD cadre,LOC,M7 ; noRef_1104 ; M26 ; M27
"Un personnage dont l' existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s' absentait jamais, pas même un jour, ne pouvait que lui convenir.",qui,découchait,,nsubj,conj,,10.0,12,,2909.0,2911,,[10],[],découcher,8,44,_,111,36,112,['0'],[],['0'],[],[],[],[],True,False,False,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,,,,,
"Un personnage dont l' existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s' absentait jamais, pas même un jour, ne pouvait que lui convenir.",qui,voyageait,,nsubj,conj,,15.0,17,,2914.0,2916,,[15],[],voyager,8,53,_,111,36,112,['0'],[],['0'],[],[],[],[],True,False,False,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,,,,,
Il la parcourut de la cave au grenier.,Il,parcourut,la,nsubj,root,obj,1.0,3,2.0,2978.0,2980,2979.0,[1],[2],parcourir,0,52,_,115,37,116,['1'],[],['1'],[],['5'],['5'],['FAC'],True,True,True,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,maison_fogg,la,CAD cadre,FAC,maison_fogg ; M13 ; M12
Il la parcourut de la cave au grenier.,Il,parcourut,de la cave au grenier,nsubj,root,obl:arg,1.0,3,6.0,2978.0,2980,2983.0,[1],"[4, 5, 6, 7, 8]",parcourir,0,52,_,115,37,116,['1'],[],['1'],[],['55'],['55'],['LOC'],True,True,True,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,M12,de la cave,SRC source,_,M12 ; maison_fogg ; M13
"«Cela me va, cela me va!» se dit Passepartout.",Cela,va,me,nsubj,root,iobj,2.0,4,3.0,3120.0,3122,3121.0,[2],[3],aller,0,_,_,122,38,123,[],['1'],['1'],[],[],[],[],True,False,False,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,,,,,
"«Cela me va, cela me va!» se dit Passepartout.",cela,va,me,nsubj,parataxis,iobj,6.0,8,7.0,3124.0,3126,3125.0,[6],[7],aller,4,_,_,122,38,123,[],['1'],['1'],[],[],[],[],True,False,False,2,22,depuis cinq ans,date_absolue,annee,1867-00-00-00-00,,,,,,,,precedent_context,cherché,,,,,
"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",il,quittait,sa maison,nsubj,acl:relcl,obj,29.0,30,32.0,3185.0,3186,3188.0,[29],"[31, 32]",quitter,26,41,_,125,39,126,['0'],['0'],['0'],[],['5'],['5'],['FAC'],True,True,True,2,27,jusqu' à onze heures et demie,date_absolue,annee,1872-00-00-00-00,,,,,,,,ud_scope_anchor,comprenait,maison_fogg,sa maison,SRC source,FAC,maison_fogg ; reform_club
"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",il,aller,,nsubj,advcl,,29.0,34,,3185.0,3190,,[29],[],aller,30,40,FAC,125,39,126,['0'],[],['0'],[],[],[],[],True,False,False,2,27,jusqu' à onze heures et demie,date_absolue,annee,1872-00-00-00-00,,,,,,,,ud_scope_anchor,comprenait,reform_club,au reform - club,CAD cadre,FAC,reform_club ; maison_fogg
"Quant à la garde-robe de monsieur, elle était fort bien montée et merveilleusement comprise.",elle,montée,Quant à la garde-robe de monsieur,nsubj:pass,root,obl:mod,8.0,12,4.0,3288.0,3292,3284.0,[8],"[1, 2, 3, 4, 5, 6]",monter,0,_,_,127,40,128,[],['1'],['1'],[],[],[],[],True,False,False,2,27,jusqu' à onze heures et demie,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,comprenait,,,,,
«Cela me va! voilà mon affaire!,Cela,va,me,nsubj,ccomp,iobj,2.0,4,3.0,3500.0,3502,3501.0,[2],[3],aller,0,_,_,136,43,137,[],['1'],['1'],[],[],[],[],True,False,False,2,27,jusqu' à onze heures et demie,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,comprenait,,,,,
"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",Phileas Fogg,quitté,sa maison de Saville-row,nsubj,root,obj,1.0,4,6.0,3542.0,3545,3547.0,"[1, 2]","[5, 6, 7, 8, 9, 10]",quitter,0,19,FAC,141,44,142,['0'],['0'],['0'],[],"['5', '10']","['5', '10']",['FAC'],True,True,True,3,33,à onze heures et demie,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,ud_direct,quitté,maison_fogg,sa maison de saville - row,SRC source,FAC,maison_fogg ; rue_fogg ; reform_club
"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",Phileas Fogg,quitté,à onze heures et demie,nsubj,root,obl:mod,1.0,4,13.0,3542.0,3545,3554.0,"[1, 2]","[11, 12, 13, 14, 15]",quitter,0,19,FAC,141,44,142,['0'],[],['0'],[],[],[],[],True,False,False,3,33,à onze heures et demie,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,objet,quitté,maison_fogg,sa maison de saville - row,SRC source,FAC,maison_fogg ; rue_fogg ; reform_club
"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",il,arriva,au Reform,nsubj,conj,obl:arg,46.0,47,49.0,3587.0,3588,3590.0,[46],"[48, 49]",arriver,4,32,_,141,44,142,['0'],[],['0'],[],['3'],['3'],['FAC'],True,True,True,3,33,à onze heures et demie,date_absolue,heure,1872-10-02-11-00,1872-10-02 11:00,,,1.0,,,,ud_scope_anchor,quitté,reform_club,au reform - club,lieu_sans_relation,FAC,reform_club ; maison_fogg ; rue_fogg
"À six heures moins vingt, le gentleman reparut dans le grand salon et s' absorba dans la lecture du Morning Chronicle.",le gentleman,reparut,À six heures moins vingt,nsubj,root,obl:mod,8.0,9,3.0,3852.0,3853,3847.0,"[7, 8]","[1, 2, 3, 4, 5]",reparaître,0,35,_,149,47,150,['0'],[],['0'],[],[],[],[],True,False,False,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,objet,reparut,grand_salon_club,dans le grand salon,GOL goal,FAC,grand_salon_club
"À six heures moins vingt, le gentleman reparut dans le grand salon et s' absorba dans la lecture du Morning Chronicle.",le gentleman,reparut,dans le grand salon,nsubj,root,obl:arg,8.0,9,13.0,3852.0,3853,3857.0,"[7, 8]","[10, 11, 12, 13]",reparaître,0,35,_,149,47,150,['0'],[],['0'],[],['24'],['24'],['FAC'],True,True,True,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,ud_direct,reparut,grand_salon_club,dans le grand salon,GOL goal,FAC,grand_salon_club
"Une demi-heure plus tard, divers membres du Reform - Club faisaient leur entrée et s' approchaient de la cheminée, où brûlait un feu de houille.",divers membres du Reform-Club,approchaient,s',nsubj,conj,expl:comp,7.0,17,16.0,3874.0,3884,3883.0,"[6, 7, 8, 9, 10, 11]",[16],approcher,12,54,_,150,48,151,['4'],[],['4'],['3'],[],['3'],['FAC'],True,True,True,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,precedent_context,reparut,M16,de la cheminée,GOL goal,_,M16 ; reform_club
"Une demi-heure plus tard, divers membres du Reform - Club faisaient leur entrée et s' approchaient de la cheminée, où brûlait un feu de houille.",divers membres du Reform-Club,approchaient,de la cheminée,nsubj,conj,obl:arg,7.0,17,20.0,3874.0,3884,3887.0,"[6, 7, 8, 9, 10, 11]","[18, 19, 20]",approcher,12,54,_,150,48,151,['4'],[],['4'],['3'],[],['3'],['FAC'],True,True,True,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,precedent_context,reparut,M16,de la cheminée,GOL goal,_,M16 ; reform_club
"Des inspecteurs de police, gens fort habiles, ont été envoyés en Amérique et en Europe, dans tous les principaux ports d' embarquement et de débarquement, et il sera difficile à ce monsieur de leur échapper.",,échapper,leur,,dep,iobj,,39,38.0,,4061,4060.0,[],[38],échapper,33,Dpt au sens large,VERB,155,51,156,[],['17'],['17'],[],[],[],[],True,False,False,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,precedent_context,reparut,continent_amerique,en amérique,GOL goal,GPE,continent_amerique ; continent_europe
"Celui qui fit cette réponse n' était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.",dont la tête,émergeait,du flot de papier autour de lui,nsubj,acl:relcl,obl:arg,15.0,16,19.0,4169.0,4170,4173.0,"[13, 14, 15]","[18, 19, 20, 21, 23, 24, 25]",émerger,10,_,_,162,58,163,['0'],['0'],['0'],[],[],[],[],True,False,False,3,41,à six heures moins vingt,date_absolue,heure,1872-10-02-17-00,1872-10-02 17:00,,,1.0,,,,precedent_context,reparut,,,,,
