Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque,chapter
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l'Angleterre,nsubj,acl:relcl,obj,8.0,9,11.0,79.0,80,82.0,[8],"[10, 11]",honorer,7,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,À l'un des plus grands orateurs,,root,obl:mod,,13,3.0,,84,74.0,[],"[1, 2, 3, 4, 5, 6, 7]",succéder,0,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,ce Phileas Fogg personnage énigmatique sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise,,root,obj,,13,16.0,,84,87.0,[],"[15, 16, 17, 19, 20, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",succéder,0,_,_,1,1,2,[],['3'],['3'],[],[],[],[],True,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,nsubj,acl:relcl,obj,23.0,25,26.0,94.0,96,97.0,[23],[26],savoir,16,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,,nsubj,root,,1.0,2,,120.0,121,,[1],[],dire,0,_,_,2,2,3,['221'],[],['221'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,nsubj,ccomp,obl:arg,4.0,5,7.0,123.0,124,126.0,[4],"[6, 7]",ressembler,2,_,_,2,2,3,['3'],[],['3'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par,nsubj,ccomp,obj,4.0,5,8.0,123.0,124,127.0,[4],[8],ressembler,2,_,_,2,2,3,['3'],[],['3'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par la tête,nsubj,ccomp,obl:mod,4.0,5,11.0,123.0,124,130.0,[4],"[9, 10, 11]",ressembler,2,_,_,2,2,3,['3'],[],['3'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,quant aux pieds,nsubj,ccomp,obl:mod,4.0,5,19.0,123.0,124,138.0,[4],"[17, 18, 19]",ressembler,2,_,_,2,2,3,['3'],[],['3'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,"pieds-,",nsubj,ccomp,obj,4.0,5,20.0,123.0,124,139.0,[4],[20],ressembler,2,_,_,2,2,3,['3'],[],['3'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vécu,mille ans,nsubj,acl:relcl,obj,35.0,37,39.0,154.0,156,158.0,[35],"[38, 39]",vivre,32,_,_,2,2,3,[],[],[],[],[],[],[],False,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vieillir,,nsubj,advcl,,35.0,41,,154.0,160,,[35],[],vieillir,37,_,_,2,2,3,[],[],[],[],[],[],[],False,False,False,1
"Anglais, à coup sûr, Phileas Fogg n' était peut-être pas Londonner.",Phileas Fogg,Londonner,,nsubj,xcomp,,7.0,13,,168.0,174,,"[7, 8]",[],londonner,10,_,_,3,3,4,['3'],[],['3'],[],[],[],[],True,False,False,1
"On ne l' avait jamais vu ni à la Bourse, ni à la Banque, ni dans aucun des comptoirs de la Cité.",On,vu,l',nsubj,root,obj,1.0,6,3.0,176.0,181,178.0,[1],[3],voir,0,_,_,4,3,5,['222'],['3'],"['222', '3']",[],[],[],[],True,False,False,1
Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,les bassins ni les docks de Londres,reçu,un navire,nsubj,root,obj,3.0,12,14.0,203.0,212,214.0,"[2, 3, 4, 5, 6, 7, 8]","[13, 14]",recevoir,0,_,_,5,3,6,[],[],[],['les docks de londres'],[],['les docks de londres'],['LOC'],False,True,False,1
Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,,ayant,Phileas Fogg,,acl,obj,,15,18.0,,215,218.0,[],"[18, 19]",avoir,14,_,_,5,3,6,[],['8'],['8'],[],[],[],[],True,False,False,1
Ce gentleman ne figurait dans aucun comité d' administration.,Ce gentleman,figurait,dans aucun comité d'administration,nsubj,root,obl:arg,2.0,4,7.0,222.0,224,227.0,"[1, 2]","[5, 6, 7, 8, 9]",figurer,0,_,_,6,3,7,['3'],[],['3'],[],[],[],[],True,False,False,1
"Son nom n' avait jamais retenti dans un collège d' avocats, ni au Temple, ni à Lincoln' s - inn, ni à Gray' s - inn.",Son nom,retenti,dans un collège d'avocats ni au Temple ni à Lincoln's-inn ni à Gray's-inn,nsubj,root,obl:mod,2.0,6,9.0,232.0,236,239.0,"[1, 2]","[7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",retentir,0,_,_,7,3,8,['3'],[],['3'],[],"['au temple', ""lincoln' s - inn"", ""gray' s - inn""]","['au temple', ""lincoln' s - inn"", ""gray' s - inn""]",['FAC'],True,True,True,1
"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l' Échiquier, ni en Cour ecclésiastique.",il,plaida,ni à la Cour du chancelier ni au Banc de la Reine ni à l'Échiquier ni en Cour ecclésiastique,nsubj,root,obj,2.0,4,8.0,262.0,264,268.0,[2],"[5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27]",plaider,0,_,_,8,3,9,['3'],[],['3'],[],['la reine'],['la reine'],['FAC'],True,True,True,1
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",Il,faisait,partie,nsubj,root,obj,1.0,3,4.0,304.0,306,307.0,[1],[4],faire,0,_,_,10,3,11,['3'],[],['3'],[],[],[],[],True,False,False,1
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",,réunis,,,acl,,,59,,,362,,[],[],réunir,55,_,_,10,3,11,[],[],[],[],[],[],[],False,False,False,1
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",qui,placée,sous le patronage direct de Sa Gracieuse Majesté,nsubj:pass,acl:relcl,obl:arg,61.0,63,66.0,364.0,366,369.0,[61],"[64, 65, 66, 67, 68, 69, 70, 71]",placer,53,_,_,10,3,11,[],[],[],[],[],[],[],False,False,False,1
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,appartenait,à aucune des nombreuses sociétés,,root,obl:arg,,3,6.0,,378,381.0,[],"[5, 6, 7, 8, 9]",appartenir,0,_,_,11,3,12,[],[],[],[],[],[],[],False,False,False,1
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,dans la capitale de l'Angleterre,nsubj,acl:relcl,obl:mod,10.0,11,14.0,385.0,386,389.0,[10],"[12, 13, 14, 15, 16, 17]",pulluler,9,_,_,11,3,12,[],[],[],[],[],[],[],False,False,False,1
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,depuis la Société de l'Armonica jusqu'à la Société entomologique,nsubj,acl:relcl,obl:mod,10.0,11,21.0,385.0,386,396.0,[10],"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pulluler,9,_,_,11,3,12,[],['223'],['223'],[],[],[],[],True,False,False,1
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,fondée,dans le but,,acl,obl:mod,,31,35.0,,406,410.0,[],"[33, 34, 35]",fonder,28,_,_,11,3,12,[],[],[],[],[],[],[],False,False,False,1
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,détruire,les insectes nuisibles,,acl,obj,,37,39.0,,412,414.0,[],"[38, 39, 40]",détruire,35,_,_,11,3,12,[],[],[],[],[],[],[],False,False,False,1
"Phileas Fogg était membre du Reform - Club, et voilà tout.",Phileas Fogg,voilà,,nsubj,conj,,1.0,11,,417.0,427,,"[1, 2]",[],voilà,4,_,_,12,4,13,['3'],[],['3'],[],[],[],[],True,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,À qui,nsubj,advcl,obl:mod,21.0,4,2.0,450.0,433,431.0,[21],"[1, 2]",étonner,22,_,_,13,5,14,[],[],[],[],[],[],[],False,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,s',nsubj,advcl,expl:comp,21.0,4,3.0,450.0,433,432.0,[21],[3],étonner,22,_,_,13,5,14,[],[],[],[],[],[],[],False,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,de ce,nsubj,advcl,obl:arg,21.0,4,6.0,450.0,433,435.0,[21],"[5, 6]",étonner,22,_,_,13,5,14,[],[],[],[],[],[],[],False,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",un gentleman aussi mystérieux,comptât,parmi les membres de cette honorable association,nsubj,acl,obl:arg,9.0,12,15.0,438.0,441,444.0,"[8, 9, 10, 11]","[13, 14, 15, 16, 17, 18, 19]",compter,6,_,_,13,5,14,['3'],[],['3'],[],['cette honorable association'],['cette honorable association'],['FAC'],True,True,True,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,répondra,,nsubj,root,,21.0,22,,450.0,451,,[21],[],répondre,0,_,_,13,5,14,[],[],[],[],[],[],[],False,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,nsubj,ccomp,obl:arg,24.0,25,28.0,453.0,454,457.0,[24],"[26, 27, 28, 29, 30, 31, 32]",passer,22,_,_,13,5,14,['3'],['134'],"['3', '134']",[],[],[],[],True,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,chez lesquels,nsubj,acl:relcl,obl:mod,36.0,37,35.0,465.0,466,464.0,[36],"[34, 35]",avoir,30,_,_,13,5,14,['3'],['134'],"['3', '134']",[],[],[],[],True,False,False,1
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,un crédit ouvert,nsubj,acl:relcl,obj,36.0,37,39.0,465.0,466,468.0,[36],"[38, 39, 40]",avoir,30,_,_,13,5,14,['3'],[],['3'],[],[],[],[],True,False,False,1
"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,à vue,nsubj:pass,acl,obl:mod,14.0,17,19.0,484.0,487,489.0,"[13, 14]","[18, 19]",payer,11,_,_,14,5,15,['3'],[],['3'],[],[],[],[],True,False,False,1
"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,par le débit de son compte courant invariablement créditeur,nsubj:pass,acl,obl:agent,14.0,17,22.0,484.0,487,492.0,"[13, 14]","[20, 21, 22, 23, 24, 25, 26, 27, 28]",payer,11,_,_,14,5,15,['3'],['3'],['3'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,fortune,nsubj,advcl,obj,3.0,5,6.0,511.0,513,514.0,[3],[6],faire,68,_,_,17,6,18,['3'],[],['3'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,En tout cas,nsubj,advcl,obl:mod,3.0,5,37.0,511.0,513,545.0,[3],"[35, 36, 37]",faire,68,_,_,17,6,18,['3'],[],['3'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,de rien,nsubj,advcl,obl:arg,3.0,5,44.0,511.0,513,552.0,[3],"[43, 44]",faire,68,_,_,17,6,18,['3'],[],['3'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",,pouvaient,,,acl,,,16,,,524,,[],[],pouvoir,10,_,_,17,6,18,[],[],[],[],[],[],[],False,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",,dire,,,xcomp,,,17,,,525,,[],[],dire,16,_,_,17,6,18,[],[],[],[],[],[],[],False,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,convînt,,nsubj,acl:relcl,,26.0,27,,534.0,535,,[26],[],convenir,24,_,_,17,6,18,[],[],[],[],[],[],[],False,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,adresser,s',nsubj,xcomp,expl:comp,26.0,30,29.0,534.0,538,537.0,[26],[29],adresser,27,_,_,17,6,18,[],[],[],[],[],[],[],False,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apprendre,l',nsubj,advcl,obj,26.0,33,32.0,534.0,541,540.0,[26],[32],apprendre,27,_,_,17,6,18,[],[],[],[],[],[],[],False,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,où,nsubj,conj,iobj,39.0,54,52.0,547.0,562,560.0,[39],[52],manquer,42,_,_,17,6,18,['1'],[],['1'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,il,nsubj,conj,iobj,39.0,54,53.0,547.0,562,561.0,[39],[53],manquer,42,_,_,17,6,18,['1'],[],['1'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,un appoint pour une chose noble utile ou généreuse,nsubj,conj,obj,39.0,54,56.0,547.0,562,564.0,[39],"[55, 56, 57, 58, 59, 60, 62, 63, 64]",manquer,42,_,_,17,6,18,['1'],[],['1'],[],[],[],[],True,False,False,1
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apportait,l',nsubj,root,obj,66.0,68,67.0,574.0,576,575.0,[66],[67],apporter,0,_,_,17,6,18,['1'],[],['1'],[],[],[],[],True,False,False,1
"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,parlait,,nsubj,root,,1.0,2,,593.0,594,,[1],[],parler,0,_,_,19,7,20,['1'],[],['1'],[],[],[],[],True,False,False,1
"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,semblait,,nsubj,conj,,1.0,9,,593.0,601,,[1],[],sembler,2,_,_,19,7,20,['1'],[],['1'],[],[],[],[],True,False,False,1
"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",il,faisait,qu',nsubj,acl:relcl,obj,11.0,12,10.0,621.0,622,620.0,[11],[10],faire,9,_,_,20,7,21,['1'],[],['1'],[],[],[],[],True,False,False,1
"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",l'imagination mécontente,cherchait,au-delà,nsubj,dep,obl:arg,23.0,27,28.0,633.0,637,638.0,"[22, 23, 25]",[28],chercher,19,_,_,20,7,21,[],[],[],[],[],[],[],False,False,False,1
