,cle_triptyque,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_auto,time_code_auto,time_texte,time_code,time_source,time_ud_governor,temps_ref,temps_auto,statut_temps
98,1 || 9 || 29 || ses gains || entraient || dans sa bourse,1,9,29,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,entraient,dans sa bourse,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
99,1 || 9 || 29 || ses gains || figuraient || pour une somme importante à son budget de charité,1,9,29,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,figuraient,pour une somme importante à son budget de charité,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
100,1 || 9 || 30 || _ || faut || d'ailleurs,1,9,30,"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",,faut,D'ailleurs,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
101,1 || 9 || 30 || _ || remarquer || le,1,9,30,"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",,remarquer,le,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
102,1 || 9 || 30 || mr. fogg || jouait || _,1,9,30,"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",Mr. Fogg,jouait,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
103,1 || 9 || 30 || mr. fogg || jouer || _,1,9,30,"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",Mr. Fogg,jouer,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
104,1 || 9 || 30 || _ || gagner || _,1,9,30,"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",,gagner,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
105,1 || 9 || 31 || cela || allait || à son caractère,1,9,31,"Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.",cela,allait,à son caractère,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
106,1 || 10 || 32 || on || connaissait || à phileas fogg ni femme ni enfants,1,10,32,"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",On,connaissait,à Phileas Fogg ni femme ni enfants,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
107,1 || 10 || 32 || on || connaissait || ce,1,10,32,"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",On,connaissait,ce,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
108,1 || 10 || 32 || qui || peut || _,1,10,32,"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",qui,peut,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
109,1 || 10 || 32 || qui || arriver || aux gens les plus honnêtes,1,10,32,"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",qui,arriver,aux gens les plus honnêtes,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
110,1 || 10 || 33 || phileas fogg || vivait || dans sa maison de saville-row,1,10,33,"Phileas Fogg vivait seul dans sa maison de Saville - row, où personne ne pénétrait.",Phileas Fogg,vivait,dans sa maison de Saville-row,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
111,1 || 10 || 33 || personne || pénétrait || où,1,10,33,"Phileas Fogg vivait seul dans sa maison de Saville - row, où personne ne pénétrait.",personne,pénétrait,où,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
112,1 || 10 || 35 || un seul domestique || suffisait || _,1,10,35,Un seul domestique suffisait à le servir.,Un seul domestique,suffisait,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
113,1 || 10 || 35 || un seul domestique || servir || le,1,10,35,Un seul domestique suffisait à le servir.,Un seul domestique,servir,le,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
114,1 || 10 || 36 || _ || déjeunant || _,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,Déjeunant,,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
115,1 || 10 || 36 || _ || dînant || au club,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,au club,à des heures chronométriquement déterminées,1872-00-00-12-17,à des heures chronométriquement déterminées,,ud_direct,dînant,1872-00-00-12-17,,seulement_ref
116,1 || 10 || 36 || _ || dînant || à des heures,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,à des heures,à des heures chronométriquement déterminées,1872-00-00-12-17,à des heures chronométriquement déterminées,,objet,dînant,1872-00-00-12-17,,seulement_ref
117,1 || 10 || 36 || _ || dînant || dans la même salle,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,dans la même salle,à des heures chronométriquement déterminées,1872-00-00-12-17,à des heures chronométriquement déterminées,,ud_direct,dînant,1872-00-00-12-17,,seulement_ref
118,1 || 10 || 36 || _ || dînant || à la même table,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,à la même table,à des heures chronométriquement déterminées,1872-00-00-12-17,à des heures chronométriquement déterminées,,ud_direct,dînant,1872-00-00-12-17,,seulement_ref
119,1 || 10 || 36 || _ || déterminées || _,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,déterminées,,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
120,1 || 10 || 36 || il || traitant || ses collègues,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,traitant,ses collègues,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
121,1 || 10 || 36 || il || invitant || aucun étranger,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,invitant,aucun étranger,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
122,1 || 10 || 36 || il || rentrait || chez lui,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,rentrait,chez lui,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
123,1 || 10 || 36 || il || coucher || se,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,coucher,se,à des heures chronométriquement déterminées,1872-00-00-12-17,à minuit précis,1872-00-00-00-00,ud_direct,coucher,1872-00-00-12-17,1872-00-00-00,temps_different
124,1 || 10 || 36 || il || coucher || à minuit précis,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,coucher,à minuit précis,à minuit précis,1872-00-00-12,à minuit précis,1872-00-00-00-00,objet,coucher,1872-00-00-12,1872-00-00-00,temps_different
125,1 || 10 || 36 || _ || user || de ces chambres confortables,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,user,de ces chambres confortables,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
126,1 || 10 || 36 || le reform-club || tient || que,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",le Reform-Club,tient,que,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
127,1 || 10 || 36 || le reform-club || tient || à la disposition des membres du cercle,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",le Reform-Club,tient,à la disposition des membres du cercle,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
128,1 || 10 || 37 || il || passait || sur vingt-quatre heures,1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,Sur vingt-quatre heures,à des heures chronométriquement déterminées,1872-00-00-12-17,sur vingt-quatre heures,,objet,passait,1872-00-00-12-17,,seulement_ref
129,1 || 10 || 37 || il || passait || dix,1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,dix,à des heures chronométriquement déterminées,1872-00-00-12-17,sur vingt-quatre heures,,ud_direct,passait,1872-00-00-12-17,,seulement_ref
130,1 || 10 || 37 || il || passait || à son domicile,1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,à son domicile,à des heures chronométriquement déterminées,1872-00-00-12-17,sur vingt-quatre heures,,ud_direct,passait,1872-00-00-12-17,,seulement_ref
131,1 || 10 || 37 || il || dormît || _,1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,dormît,,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
132,1 || 10 || 37 || il || occupât || s',1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,occupât,s',à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
133,1 || 10 || 37 || il || occupât || de sa toilette,1,10,37,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,occupât,de sa toilette,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
134,1 || 10 || 38 || il || promenait || se,1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,se,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
135,1 || 10 || 38 || il || promenait || d'un pas égal,1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,d'un pas égal,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
136,1 || 10 || 38 || il || promenait || dans la salle d'entrée ou sur la galerie circulaire,1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,dans la salle d'entrée ou sur la galerie circulaire,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
137,1 || 10 || 38 || _ || parquetée || en marqueterie,1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",,parquetée,en marqueterie,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
138,1 || 10 || 38 || un dôme à vitraux bleus || arrondit || s',1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",un dôme à vitraux bleus,arrondit,s',à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
139,1 || 10 || 38 || vingt colonnes ioniques en porphyre rouge || supportent || que,1,10,38,"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",vingt colonnes ioniques en porphyre rouge,supportent,que,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
140,1 || 10 || 39 || il || dînait || _,1,10,39,"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",il,dînait,,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
141,1 || 10 || 39 || il || déjeunait || _,1,10,39,"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",il,déjeunait,,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
142,1 || 10 || 39 || qui || fournissaient || à sa table,1,10,39,"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,fournissaient,à sa table,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
143,1 || 10 || 39 || qui || fournissaient || leurs succulentes réserves,1,10,39,"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,fournissaient,leurs succulentes réserves,à des heures chronométriquement déterminées,1872-00-00-12-17,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-12-17,1872-00-00-00,temps_different
