Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,triplet_order,is_dynamouv,verb_occ_key,chapter,triptyque_id,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,Club,nsubj,conj,obl:arg,8.0,22,26.0,rendre,17,_,_,48,14,48,192,False,48_22,1,192,['1'],[],['1'],[],['au reform - club'],['au reform - club'],['FAC'],True,True,True
"En ce moment, on frappa à la porte du petit salon Dans lequel se tenait Phileas Fogg.",Phileas Fogg,tenait,Dans lequel,nsubj,conj,obl:mod,17.0,16,14.0,tenir,6,_,_,49,15,49,195,False,49_16,1,195,['3'],[],['3'],[],['lequel'],['lequel'],['FAC'],True,True,True
"Passepartout entendit la porte de la rue se fermer une première fois  : c’ était son nouveau maître qui sortait  ; puis une seconde fois  : c’ était son prédécesseur, James Forster, qui s’ en allait à son tour.",Passepartout,entendit,la porte de la rue,nsubj,root,obj,1.0,2,4.0,entendre,0,_,_,75,29,75,263,False,75_2,1,263,['0'],[],['0'],[],['la rue'],['la rue'],['FAC'],True,True,True
Passepartout demeura seul dans la maison de Saville - row.,Passepartout,demeura,dans la maison de Saville - row,nsubj,root,obl:mod,1.0,2,6.0,demeurer,0,_,_,76,30,76,270,False,76_2,1,270,['0'],[],['0'],[],['saville - row'],['saville - row'],['FAC'],True,True,True
Il avait fait dix maisons.,Il,fait,dix maisons,nsubj,root,obj,1.0,3,5.0,faire,0,_,_,106,37,106,372,False,106_3,2,372,['0'],[],['0'],[],['dix maisons'],['dix maisons'],['FAC'],True,True,True
Aussitôt il en commença l’ inspection.,il,commença,en,nsubj,root,iobj,2.0,4,3.0,commencer,0,_,_,115,38,115,400,False,115_4,2,400,['0'],[],['0'],[],['en'],['en'],['FAC'],True,True,True
Il la parcourut de la cave au grenier.,Il,parcourut,la,nsubj,root,obj,1.0,3,2.0,parcourir,0,_,_,116,38,116,402,False,116_3,2,402,['0'],[],['0'],[],['la'],['la'],['FAC'],True,True,True
Il la parcourut de la cave au grenier.,Il,parcourut,de la cave au grenier,nsubj,root,obl:arg,1.0,3,6.0,parcourir,0,_,_,116,38,116,403,False,116_3,2,403,['0'],[],['0'],[],['la cave'],['la cave'],['FAC'],True,True,True
"Cette maison propre, rangée, sévère, puritaine, bien organisée pour le service, lui plut.",Cette maison propre sévère puritaine,plut,lui,nsubj,root,iobj,2.0,18,17.0,pleuvoir,0,_,_,117,38,117,406,False,117_18,2,406,[],['0'],['0'],"['cette maison propre , rangée , sévère , puritaine']",[],"['cette maison propre , rangée , sévère , puritaine']",['FAC'],True,True,True
"Elle lui fit l’ effet d’ une belle coquille de colimaçon, mais d’ une coquille éclairée et chauffée au gaz, car l’ hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.",Elle,fit,lui,nsubj,root,iobj,1.0,3,2.0,faire,0,_,_,118,38,118,407,False,118_3,2,407,[],['0'],['0'],['elle'],[],['elle'],['FAC'],True,True,True
"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",Passepartout,trouva,la chambre,nsubj,root,obj,1.0,2,11.0,trouver,0,_,_,119,38,119,417,False,119_2,2,417,['0'],[],['0'],[],['la chambre'],['la chambre'],['FAC'],True,True,True
"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",qui,destinée,lui,nsubj:pass,acl:relcl,iobj,12.0,15,13.0,destiner,11,_,_,119,38,119,418,False,119_15,2,418,[],['0'],['0'],['qui'],[],['qui'],['FAC'],True,True,True
Elle lui convint.,Elle,convint,lui,nsubj,root,iobj,1.0,3,2.0,convenir,0,_,_,120,38,120,419,False,120_3,2,419,[],['0'],['0'],['elle'],[],['elle'],['FAC'],True,True,True
"Il remarqua aussi, dans sa chambre, une notice affichée au-dessus de la pendule.",Il,remarqua,dans sa chambre,nsubj,root,obl:mod,1.0,2,7.0,remarquer,0,_,_,124,40,124,429,False,124_2,2,429,['0'],['0'],['0'],[],['sa chambre'],['sa chambre'],['FAC'],True,True,True
"Il comprenait– depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu’ à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club– tous les détails du service, le thé et les rôties de huit heures vingt-trois, l’ eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit– heure à laquelle se couchait le méthodique gentleman–, tout était noté, prévu, régularisé.",il,quittait,sa maison,nsubj,acl:relcl,obj,29.0,30,32.0,quitter,26,_,_,126,40,126,435,False,126_30,2,435,['3'],['3'],['3'],[],['sa maison'],['sa maison'],['FAC'],True,True,True
"En somme, dans cette maison de Saville - row qui devait être le temple du désordre à l’ époque de l’ illustre mais dissipé Sheridan –, ameublement confortable, annonçant une belle aisance.",qui,devait,à l’ époque de l’ illustre mais dissipé Sheridan – ameublement confortable,nsubj,acl:relcl,obl:mod,11.0,12,20.0,devoir,6,_,_,131,42,131,460,False,131_12,2,460,[],['0'],['0'],['qui'],[],['qui'],['FAC'],True,True,True
"Pas de bibliothèque, pas de livres, qui eussent été sans utilité pour Mr. Fogg, puisque le Reform - Club mettait à sa disposition deux bibliothèques, l’ une consacrée aux lettres, l’ autre au droit et à la politique.",le Reform,mettait,à sa disposition,nsubj,advcl,obl:arg,20.0,23,26.0,mettre,3,_,_,132,42,132,463,False,132_23,2,463,[],['1'],['1'],['le reform - club'],[],['le reform - club'],['FAC'],True,True,True
"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s’ épanouit, et il répéta joyeusement  :",Passepartout,examiné,cette demeure,nsubj,advcl,obj,9.0,3,5.0,examiner,11,_,_,136,43,136,471,False,136_3,2,471,['0'],[],['0'],[],['cette demeure'],['cette demeure'],['FAC'],True,True,True
"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n’ a pas coûté moins de trois millions à bâtir.",Phileas Fogg,quitté,sa maison de Saville - row,nsubj,root,obj,1.0,4,6.0,quitter,0,_,_,142,45,142,483,False,142_4,3,483,['3'],['3'],['3'],[],"['sa maison de saville - row', 'saville - row']","['sa maison de saville - row', 'saville - row']",['FAC'],True,True,True
"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n’ a pas coûté moins de trois millions à bâtir.",il,arriva,au Reform,nsubj,conj,obl:arg,46.0,47,49.0,arriver,4,_,_,142,45,142,488,False,142_47,3,488,['3'],[],['3'],[],['au reform - club'],['au reform - club'],['FAC'],True,True,True
"Phileas Fogg se rendit aussitôt à la salle à manger, dont les neuf fenêtres s’ ouvraient sur un beau jardin aux arbres déjà dorés par l’ automne.",Phileas Fogg,rendit,à la salle à manger,nsubj,root,obl:arg,1.0,4,8.0,rendre,0,_,_,143,46,143,495,False,143_4,3,495,['3'],[],['3'],[],['la salle à manger'],['la salle à manger'],['FAC'],True,True,True
"À midi quarante - sept, ce gentleman se leva et se dirigea vers le grand salon, somptueuse pièce, ornée de peintures richement encadrées.",ce gentleman,dirigea,vers le grand salon somptueuse pièce,nsubj,conj,obl:arg,8.0,13,17.0,diriger,10,_,_,146,47,146,517,False,146_13,3,517,['3'],[],['3'],[],"['le grand salon', 'somptueuse pièce']","['le grand salon', 'somptueuse pièce']",['FAC'],True,True,True
"À six heures moins vingt, le gentleman reparut dans le grand salon et s’ absorba dans la lecture du Morning Chronicle.",le gentleman,reparut,dans le grand salon,nsubj,root,obl:arg,8.0,9,13.0,reparaître,0,_,_,150,48,150,535,False,150_9,3,535,['3'],[],['3'],[],['le grand salon'],['le grand salon'],['FAC'],True,True,True
"Des inspecteurs de police, gens fort habiles, ont été envoyés en Amérique et en Europe, dans tous les principaux ports d’ embarquement et de débarquement, et il sera difficile à ce monsieur de leur échapper.",Des inspecteurs de police gens fort habiles,envoyés,dans tous les principaux ports d’ embarquement et de débarquement,nsubj:pass,root,obl:mod,2.0,12,23.0,envoyer,0,_,_,156,52,156,557,False,156_12,3,557,['245'],[],['245'],[],"['tous les principaux ports d’ embarquement et de débarquement', 'les principaux ports d’ embarquement']","['tous les principaux ports d’ embarquement et de débarquement', 'les principaux ports d’ embarquement']","['FAC', 'LOC']",True,True,True
"Mais il convient de faire observer ici– ce qui rend le fait plus explicable– que cet admirable établissement de«   Bank of England  » paraît se soucier extrêmement de la dignité du public. Point de gardes, point d’ invalides, point de grillages  !",Bank of England,soucier,de la dignité du public,nsubj,xcomp,obl:arg,24.0,31,35.0,soucier,29,_,_,168,62,168,598,False,168_31,3,598,[],['246'],['246'],['cet admirable établissement de « \xa0 bank of england'],[],['cet admirable établissement de « \xa0 bank of england'],['FAC'],True,True,True
"Un des meilleurs observateurs des usages anglais raconte même ceci  : Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d’ or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier  ; il prit ce lingot, l’ examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s’ en alla jusqu’ au fond d’ un corridor obscur, et ne revint qu’ une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",il,trouvait,où,nsubj,acl:relcl,iobj,21.0,23,20.0,trouver,16,_,_,171,62,171,605,False,171_23,3,605,['24'],[],['24'],[],['où'],['où'],['FAC'],True,True,True
"Un des meilleurs observateurs des usages anglais raconte même ceci  : Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d’ or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier  ; il prit ce lingot, l’ examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s’ en alla jusqu’ au fond d’ un corridor obscur, et ne revint qu’ une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",il,eut,Dans une des salles de la Banque,nsubj,root,obl:mod,27.0,28,14.0,avoir,0,_,_,171,62,171,608,False,171_28,3,608,['24'],[],['24'],[],"['une des salles de la banque', 'la banque']","['une des salles de la banque', 'la banque']",['FAC'],True,True,True
"Le vol bien et dûment reconnu, des agents, des«   détectives  », choisis parmi les plus habiles, furent envoyés dans les principaux ports, à Liverpool, à Glasgow, au Havre, à Suez, à Brindisi, à New York, etc., avec promesse, en cas de succès, d’ une prime de deux mille livres( 50   000   F) et cinq pour cent de la somme qui serait retrouvée.",détectives,envoyés,dans les principaux ports à Liverpool à Glasgow au Havre à Suez à Brindisi à New York,nsubj:pass,root,obl:arg,14.0,25,29.0,envoyer,0,_,_,174,64,174,636,False,174_25,3,636,['0'],[],['0'],[],['les principaux ports'],['les principaux ports'],['FAC'],True,True,True
"Pendant cette journée du 29 septembre, un gentleman bien mis, de bonnes manières, l’ air distingué, avait été remarqué, qui allait et venait dans la salle des paiements, théâtre du vol.",qui,allait,dans la salle des paiements théâtre du vol,nsubj,advcl,obl:mod,25.0,26,31.0,aller,23,_,_,177,65,177,652,False,177_26,3,652,['0'],[],['0'],[],['la salle des paiements'],['la salle des paiements'],['FAC'],True,True,True
"Donc, ajouta -t -il en consultant un calendrier de poche, puisque c’ est aujourd’hui mercredi 2 octobre, je devrai être de retour à Londres, dans ce salon même du Reform - Club, le samedi 21 décembre, à huit heures quarante - cinq du soir, faute de quoi les vingt mille livres déposées actuellement à mon crédit chez Baring frères vous appartiendront de fait et de droit, messieurs.",je,devrai,dans ce salon même du Reform - Club,nsubj,advcl,obl:mod,21.0,22,31.0,devoir,7,_,_,263,128,263,839,False,263_22,3,839,['3'],[],['3'],[],"['ce salon même du reform - club', 'du reform - club']","['ce salon même du reform - club', 'du reform - club']",['FAC'],True,True,True
"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,le Reform,nsubj,conj,obj,6.0,27,29.0,quitter,19,_,_,274,133,274,884,False,274_27,4,884,['3'],[],['3'],[],['le reform - club'],['le reform - club'],['FAC'],True,True,True
"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,-,nsubj,conj,obl:arg,6.0,27,30.0,quitter,19,_,_,274,133,274,885,False,274_27,4,885,['3'],[],['3'],[],['le reform - club'],['le reform - club'],['FAC'],True,True,True
"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,Club,nsubj,conj,obl:arg,6.0,27,31.0,quitter,19,_,_,274,133,274,886,False,274_27,4,886,['3'],[],['3'],[],['le reform - club'],['le reform - club'],['FAC'],True,True,True
"À sept heures cinquante, il ouvrait la porte de sa maison et rentrait chez lui.",il,ouvrait,la porte de sa maison,nsubj,root,obj,6.0,7,9.0,ouvrir,0,_,_,275,133,275,888,False,275_7,4,888,['3'],['3'],['3'],[],['sa maison'],['sa maison'],['FAC'],True,True,True
"Phileas Fogg était tout d’ abord monté à sa chambre, puis il appela  :",Phileas Fogg,monté,à sa chambre,nsubj,root,obl:arg,1.0,7,10.0,monter,0,_,_,278,135,278,896,False,278_7,4,896,['3'],['3'],['3'],[],['sa chambre'],['sa chambre'],['FAC'],True,True,True
"Il quitta la chambre de Mr. Fogg, monta dans la sienne, tomba sur une chaise, et employant une phrase assez vulgaire de son pays  :",Il,quitta,la chambre de Mr. Fogg,nsubj,root,obj,1.0,2,4.0,quitter,0,_,_,311,151,311,940,False,311_2,4,940,['0'],['1'],"['0', '1']",[],['la chambre de mr. fogg'],['la chambre de mr. fogg'],['FAC'],True,True,True
"À huit heures, Passepartout avait préparé le modeste sac qui contenait sa garde-robe et celle de son maître  ; puis, l’ esprit encore troublé, il quitta sa chambre, dont il ferma soigneusement la porte, et il rejoignit Mr. Fogg.",il,quitta,sa chambre,nsubj,root,obj,29.0,30,32.0,quitter,0,_,_,323,154,323,970,False,323_30,4,970,['0'],['0'],['0'],[],['sa chambre'],['sa chambre'],['FAC'],True,True,True
Mr. Fogg et lui entrèrent aussitôt dans la grande salle de la gare.,Mr. Fogg,entrèrent,dans la grande salle de la gare,nsubj,root,obl:arg,1.0,5,10.0,entrer,0,_,_,348,172,348,1038,False,348_5,4,1038,"['1', '0']",[],"['1', '0']",[],['la gare'],['la gare'],['FAC'],True,True,True
–   D’ éteindre le bec de gaz de ma chambre  !,,éteindre,le bec de gaz de ma chambre,,xcomp,obj,,4,6.0,éteindre,2,_,_,367,184,367,1083,False,367_4,4,1083,[],['3'],['3'],[],['ma chambre'],['ma chambre'],['FAC'],True,True,True
"Le Times, le Standard, l’ Evening Star, le Morning Chronicle, et vingt autres journaux de grande publicité, se déclarèrent contre Mr. Fogg.",Le Times le Standard l’ Evening Star le Morning Chronicle et vingt autres journaux de grande publicité,déclarèrent,contre Mr. Fogg,nsubj,root,obl:arg,2.0,24,26.0,déclarer,0,_,_,375,188,375,1114,False,375_24,5,1114,[],['1'],['1'],"['le standard', 'l’ evening star', 'le morning chronicle']",[],"['le standard', 'l’ evening star', 'le morning chronicle']",['FAC'],True,True,True
"Seul, le Daily Telegraph le soutint dans une certaine mesure.",le Daily Telegraph,soutint,le,nsubj,root,obj,4.0,7,6.0,soutenir,0,_,_,376,188,376,1115,False,376_7,5,1115,[],['1'],['1'],['le daily telegraph'],[],['le daily telegraph'],['FAC'],True,True,True
"En attendant l’ arrivée du Mongolia, deux hommes se promenaient sur le quai au milieu de la foule d’ indigènes et d’ étrangers qui affluent dans cette ville, naguère une bourgade, à laquelle la grande œuvre de M. de Lesseps assure un avenir considérable.",deux hommes,promenaient,sur le quai,nsubj,root,obl:mod,9.0,11,14.0,promener,0,_,_,426,204,426,1275,False,426_11,6,1275,['102'],[],['102'],[],['le quai'],['le quai'],['FAC'],True,True,True
"De ces deux hommes, l’ un était l’ agent consulaire du Royaume - Uni, établi à Suez, qui– en dépit des fâcheux pronostics du gouvernement britannique et des sinistres prédictions de l’ ingénieur Stephenson– voyait chaque jour des navires anglais traverser ce canal, abrégeant ainsi de moitié l’ ancienne route de l’ Angleterre aux Indes par le cap de Bonne-Espérance.",qui,traverser,ce canal,nsubj,xcomp,obj,21.0,46,48.0,traverser,40,Dpt au sens large,VERB,427,205,427,1284,True,427_46,6,1284,['2'],[],['2'],[],['ce canal'],['ce canal'],['FAC'],True,True,True
"De ces deux hommes, l’ un était l’ agent consulaire du Royaume - Uni, établi à Suez, qui– en dépit des fâcheux pronostics du gouvernement britannique et des sinistres prédictions de l’ ingénieur Stephenson– voyait chaque jour des navires anglais traverser ce canal, abrégeant ainsi de moitié l’ ancienne route de l’ Angleterre aux Indes par le cap de Bonne-Espérance.",qui,abrégeant,par le cap de Bonne-Espérance,nsubj,advcl,obl:mod,21.0,50,64.0,abréger,40,_,_,427,205,427,1287,False,427_50,6,1287,['2'],[],['2'],[],['le cap de bonne-espérance'],['le cap de bonne-espérance'],['LOC'],True,True,True
"Cet homme se nommait Fix, et c’ était un de ces«   détectives  » ou agents de police anglais, qui avaient été envoyés dans les divers ports, après le vol commis à la Banque d’ Angleterre.",qui,envoyés,dans les divers ports,nsubj:pass,acl:relcl,obl:mod,24.0,27,31.0,envoyer,19,_,_,431,207,431,1301,False,431_27,6,1301,['2'],[],['2'],[],['les divers ports'],['les divers ports'],['FAC'],True,True,True
"–   Eh bien, dit Fix, si le voleur a pris cette route et ce bateau, il doit entrer dans son plan de débarquer à Suez, afin de gagner par une autre voie les possessions hollandaises ou françaises de l’ Asie.",le voleur,pris,cette route et ce bateau,nsubj,advcl,obj,11.0,13,15.0,prendre,21,_,_,477,230,477,1439,False,477_13,6,1439,['0'],[],['0'],[],['cette route'],['cette route'],['FAC'],True,True,True
"Sur cette réflexion, qui donna fort à réfléchir à l’ agent, le consul regagna ses bureaux, situés à peu de distance.",le consul,regagna,ses bureaux,nsubj,root,obj,15.0,16,18.0,regagner,0,_,_,481,232,481,1455,False,481_16,6,1455,['2'],['2'],['2'],[],['ses bureaux'],['ses bureaux'],['FAC'],True,True,True
Toute la horde des portefaix et des fellahs se précipita vers le quai dans un tumulte un peu inquiétant pour les membres et les vêtements des passagers.,Toute la horde des portefaix et des fellahs,précipita,vers le quai,nsubj,root,obl:arg,3.0,10,13.0,précipiter,0,_,_,485,233,485,1472,False,485_10,6,1472,"['291', '290', '292']",[],"['291', '290', '292']",[],['le quai'],['le quai'],['FAC'],True,True,True
"–   Mais, reprit l’ agent, il faut qu’ il se présente en personne aux bureaux du consulat afin d’ établir son identité.",il,présente,aux bureaux du consulat,nsubj,ccomp,obl:arg,12.0,14,18.0,présente,10,_,_,501,244,501,1524,False,501_14,6,1524,['0'],[],['0'],[],['du consulat'],['du consulat'],['FAC'],True,True,True
"–   Là, au coin de la place, répondit l’ inspecteur en indiquant une maison éloignée de deux cents pas.",l’ inspecteur,répondit,au coin de la place,nsubj,ccomp,obl:mod,13.0,11,6.0,répondre,2,_,_,505,248,505,1527,False,505_11,6,1527,['2'],[],['2'],[],['la place'],['la place'],['FAC'],True,True,True
"–   Là, au coin de la place, répondit l’ inspecteur en indiquant une maison éloignée de deux cents pas.",l’ inspecteur,indiquant,une maison éloignée de deux cents pas,nsubj,advcl,obj,13.0,15,17.0,indiquer,11,_,_,505,248,505,1528,False,505_15,6,1528,['2'],[],['2'],[],['une maison éloignée de deux cents pas'],['une maison éloignée de deux cents pas'],['FAC'],True,True,True
L’ inspecteur redescendit sur le quai et se dirigea rapidement vers les bureaux du consul.,L’ inspecteur,redescendit,sur le quai,nsubj,root,obl:arg,2.0,3,6.0,redescendre,0,_,_,508,251,508,1537,False,508_3,7,1537,['2'],[],['2'],[],['le quai'],['le quai'],['FAC'],True,True,True
L’ inspecteur redescendit sur le quai et se dirigea rapidement vers les bureaux du consul.,L’ inspecteur,dirigea,vers les bureaux du consul,nsubj,conj,obl:arg,2.0,9,13.0,diriger,3,_,_,508,251,508,1539,False,508_9,7,1539,['2'],['2'],['2'],[],['les bureaux du consul'],['les bureaux du consul'],['FAC'],True,True,True
"Mais peut-être ne se présentera -t -il pas à mon bureau, s’ il est ce que vous supposez.",,présentera,à mon bureau,,root,obl:arg,,5,11.0,présenter,0,_,_,513,254,513,1556,False,513_5,7,1556,[],['2'],['2'],[],['mon bureau'],['mon bureau'],['FAC'],True,True,True
"En ce moment, on frappait à la porte de son cabinet, et le garçon de bureau introduisit deux étrangers, dont l’ un était précisément ce domestique qui s’ était entretenu avec le détective.",on,frappait,à la porte de son cabinet,nsubj,root,obl:arg,5.0,6,9.0,frapper,0,_,_,525,261,525,1585,False,525_6,7,1585,[],['2'],['2'],[],['son cabinet'],['son cabinet'],['FAC'],True,True,True
"Celui - ci prit le passeport et le lut attentivement, tandis que Fix, dans un coin du cabinet, observait ou plutôt dévorait l’ étranger des yeux.",Fix,observait,dans un coin du cabinet,nsubj,advcl,obl:mod,14.0,22,18.0,observer,4,_,_,528,263,528,1596,False,528_22,7,1596,['2'],[],['2'],[],['du cabinet'],['du cabinet'],['FAC'],True,True,True
"Cependant Mr. Fogg, en quittant la maison consulaire, s’ était dirigé vers le quai.",Mr. Fogg,quittant,la maison consulaire,nsubj,advcl,obj,2.0,6,8.0,quitter,13,_,_,555,283,555,1643,False,555_6,7,1643,['1'],[],['1'],[],['la maison consulaire'],['la maison consulaire'],['FAC'],True,True,True
"Cependant Mr. Fogg, en quittant la maison consulaire, s’ était dirigé vers le quai.",Mr. Fogg,dirigé,vers le quai,nsubj,root,obl:arg,2.0,13,16.0,diriger,0,_,_,555,283,555,1645,False,555_13,7,1645,['1'],[],['1'],[],['le quai'],['le quai'],['FAC'],True,True,True
"Là, il donna quelques ordres à son domestique  ; puis il s’ embarqua dans un canot, revint à bord du Mongolia et rentra dans sa cabine.",il,rentra,dans sa cabine,nsubj,conj,obl:arg,13.0,26,29.0,rentrer,15,_,_,556,283,556,1651,False,556_26,7,1651,['1'],['1'],['1'],[],['sa cabine'],['sa cabine'],['FAC'],True,True,True
"Fix avait en peu d’ instants rejoint sur le quai Passepartout, qui flânait et regardait, ne se croyant pas, lui, obligé à ne point voir.",Fix,rejoint,sur le quai Passepartout,nsubj,root,obl:mod,1.0,7,10.0,rejoindre,0,_,_,572,297,572,1708,False,572_7,8,1708,['2'],[],['2'],[],['le quai passepartout'],['le quai passepartout'],['FAC'],True,True,True
